reported_sector,suggested_sector,count
Unknown,Information,221
Unknown,Wholesale Trade,113
Transportation (48-49),Admin/Waste Services,39
Transportation (48-49),Professional Services,35
Retail Trade (44-45),Admin/Waste Services,31
Retail Trade (44-45),Professional Services,31
Transportation (48-49),Accommodation/Food,29
Construction,Manufacturing (31-33),26
Transportation (48-49),Other Services,22
Real Estate,Admin/Waste Services,22
Transportation (48-49),Retail Trade (44-45),21
Wholesale Trade,Manufacturing (31-33),21
Transportation (48-49),Manufacturing (31-33),20
Admin/Waste Services,Health Care,18
Wholesale Trade,Transportation (48-49),15
Retail Trade (44-45),Manufacturing (31-33),14
Manufacturing (31-33),Information,13
Public Administration,Health Care,10
Unknown,Manufacturing (31-33),10
Manufacturing (31-33),Mining,10
Manufacturing (31-33),Retail Trade (44-45),9
Wholesale Trade,Agriculture,8
Transportation (48-49),Information,8
Retail Trade (44-45),Other Services,8
Manufacturing (31-33),Agriculture,8
Retail Trade (44-45),Transportation (48-49),7
Agriculture,Information,7
Unknown,Real Estate,7
Manufacturing (31-33),Other Services,6
Retail Trade (44-45),Information,6
Mining,Utilities,6
Agriculture,Admin/Waste Services,6
Admin/Waste Services,Transportation (48-49),6
Agriculture,Manufacturing (31-33),6
Unknown,Construction,5
Other Services,Manufacturing (31-33),5
Wholesale Trade,Other Services,5
Transportation (48-49),Utilities,5
Mining,Information,4
Mining,Transportation (48-49),4
Public Administration,Other Services,4
Public Administration,Construction,4
Health Care,Public Administration,4
Construction,Retail Trade (44-45),4
Arts/Entertainment,Information,4
Construction,Professional Services,4
Transportation (48-49),Health Care,4
Accommodation/Food,Health Care,3
Wholesale Trade,Utilities,3
Public Administration,Agriculture,3
Management,Retail Trade (44-45),3
Public Administration,Admin/Waste Services,3
Construction,Other Services,3
Mining,Manufacturing (31-33),3
Information,Admin/Waste Services,3
Wholesale Trade,Professional Services,3
Retail Trade (44-45),Finance/Insurance,3
Construction,Accommodation/Food,3
Construction,Utilities,3
Finance/Insurance,Information,3
Transportation (48-49),Education,2
Professional Services,Public Administration,2
Education,Health Care,2
Real Estate,Management,2
Mining,Agriculture,2
Arts/Entertainment,Admin/Waste Services,2
Health Care,Admin/Waste Services,2
Utilities,Manufacturing (31-33),2
Public Administration,Professional Services,2
Health Care,Information,2
Retail Trade (44-45),Wholesale Trade,2
Professional Services,Health Care,2
Public Administration,Retail Trade (44-45),2
Manufacturing (31-33),Construction,2
Real Estate,Transportation (48-49),2
Public Administration,Education,2
Management,Admin/Waste Services,2
Health Care,Other Services,2
Construction,Public Administration,2
Manufacturing (31-33),Professional Services,2
Admin/Waste Services,Manufacturing (31-33),1
Manufacturing (31-33),Transportation (48-49),1
Information,Agriculture,1
Public Administration,Information,1
Finance/Insurance,Other Services,1
Retail Trade (44-45),Utilities,1
Finance/Insurance,Health Care,1
Arts/Entertainment,Accommodation/Food,1
Utilities,Construction,1
Professional Services,Finance/Insurance,1
Unknown,Agriculture,1
Construction,Transportation (48-49),1
Professional Services,Construction,1
Agriculture,Transportation (48-49),1
Admin/Waste Services,Retail Trade (44-45),1
Unknown,Admin/Waste Services,1
Real Estate,Education,1
Manufacturing (31-33),Utilities,1
Construction,Mining,1
Admin/Waste Services,Other Services,1
Professional Services,Admin/Waste Services,1
Other Services,Health Care,1
Agriculture,Professional Services,1
Wholesale Trade,Admin/Waste Services,1
Admin/Waste Services,Public Administration,1
Unknown,Transportation (48-49),1
Transportation (48-49),Real Estate,1
Other Services,Transportation (48-49),1
Arts/Entertainment,Education,1
Information,Public Administration,1
Arts/Entertainment,Public Administration,1
Education,Public Administration,1
Unknown,Health Care,1
Admin/Waste Services,Professional Services,1
Management,Transportation (48-49),1
Other Services,Public Administration,1
Agriculture,Health Care,1
Agriculture,Arts/Entertainment,1
Public Administration,Arts/Entertainment,1
Real Estate,Finance/Insurance,1
Health Care,Manufacturing (31-33),1
Arts/Entertainment,Health Care,1
Health Care,Retail Trade (44-45),1
Agriculture,Other Services,1
