tier,description,count_2021,pct_2021,count_2022,pct_2022,count_2023,pct_2023,count_2024,pct_2024
T0_RESOLVED,Confirmed correct via web/EDGAR/SAM/KC,3219,8.01%,3503,9.84%,3354,7.29%,4462,11.09%
T1_SAME_CODE,Classifier agrees with reported code,5341,13.28%,1830,5.14%,6097,13.25%,4908,12.19%
T2_TRIVIAL_CORRECTION,Minor NAICS revision (same activity),459,1.14%,497,1.40%,522,1.13%,509,1.26%
T2b_MULTI_ESTABLISHMENT_CONSISTENT,Multi-establishment EIN consistent,3867,9.62%,4785,13.44%,3768,8.19%,3427,8.51%
T3_DESC_SUPPORTS_REPORTED,Description supports reported NAICS,18752,46.64%,15580,43.76%,22411,48.70%,21530,53.49%
T4_SAME_SECTOR,"Same 2-digit sector, different sub-code",827,2.06%,568,1.60%,643,1.40%,883,2.19%
T5_NO_ALTERNATIVE,No data — unreachable establishment,642,1.60%,574,1.61%,646,1.40%,729,1.81%
T5b_NO_DESC_SIGNAL,No description signal available,5797,14.42%,7553,21.21%,7851,17.06%,2818,7.00%
T5c_NONCREDIBLE_URL,Non-credible URL source,0,0.00%,0,0.00%,5,0.01%,5,0.01%
T5d_LOW_CONFIDENCE_GUESS,Low confidence suggestion,182,0.45%,114,0.32%,108,0.23%,319,0.79%
T5e_WEBSITE_UNSCRAPEABLE,Website found but unscrapeable,717,1.78%,332,0.93%,177,0.38%,332,0.82%
T5f_NO_NAICS_SIGNAL,"Website scraped, no NAICS signal",229,0.57%,124,0.35%,157,0.34%,130,0.32%
T6_CROSS_SECTOR_CONTRADICTION,Cross-sector contradiction,128,0.32%,94,0.26%,142,0.31%,165,0.41%
T7a_INVALID_CODE,Invalid NAICS code with alternative,45,0.11%,50,0.14%,134,0.29%,31,0.08%
